inspection_id,timestamp,batch_id,line_id,fabric_type,gsm,tensile_strength,defect_count,defect_type,is_defective,scrap_cost_usd
INS-1026,2026-09-01 06:30:00,BATCH-B,Line-1,Denim,142.3,47.38,2,None,0,25.0
INS-1027,2026-09-01 06:45:00,BATCH-B,Line-2,Cotton,180.4,44.27,2,None,0,50.0
INS-1028,2026-09-01 07:00:00,BATCH-D,Line-1,Linen,212.9,40.38,1,Broken Yarn,1,25.0
INS-1029,2026-09-01 07:15:00,BATCH-D,Line-2,Linen,190.2,46.65,4,None,0,160.0
INS-1030,2026-09-01 07:30:00,BATCH-A,Line-3,Denim,185.6,52.28,6,Broken Yarn,1,75.0
INS-1031,2026-09-01 07:45:00,BATCH-A,Line-1,Cotton,210.0,46.56,4,Broken Yarn,1,100.0
INS-1032,2026-09-01 08:00:00,BATCH-D,Line-3,Cotton,169.5,40.76,1,None,0,40.0
INS-1033,2026-09-01 08:15:00,BATCH-B,Line-1,Linen,186.5,47.69,2,None,0,80.0
INS-1034,2026-09-01 08:30:00,BATCH-B,Line-2,Cotton,188.7,44.76,2,None,0,80.0
INS-1035,2026-09-01 08:45:00,BATCH-A,Line-3,Cotton,172.2,47.24,0,Broken Yarn,1,0.0
INS-1036,2026-09-01 09:00:00,BATCH-D,Line-1,Cotton,173.5,43.23,0,None,0,0.0
INS-1037,2026-09-01 09:15:00,BATCH-A,Line-2,Polyester Blend,171.8,43.11,0,Hole,1,0.0
INS-1038,2026-09-01 09:30:00,BATCH-A,Line-3,Denim,181.3,42.91,1,None,0,12.5
INS-1039,2026-09-01 09:45:00,BATCH-C,Line-3,Linen,188.2,49.71,0,None,0,0.0
INS-1040,2026-09-01 10:00:00,BATCH-C,Line-1,Linen,181.8,43.16,4,None,0,160.0
INS-1041,2026-09-01 10:15:00,BATCH-C,Line-1,Polyester Blend,190.6,42.7,2,None,0,50.0
INS-1042,2026-09-01 10:30:00,BATCH-B,Line-1,Denim,150.5,40.29,1,None,0,25.0
INS-1043,2026-09-01 10:45:00,BATCH-D,Line-2,Linen,176.7,47.27,2,None,0,25.0
INS-1044,2026-09-01 11:00:00,BATCH-D,Line-1,Cotton,164.6,46.56,0,None,0,0.0
INS-1045,2026-09-01 11:15:00,BATCH-D,Line-3,Linen,184.5,42.76,0,None,0,0.0
INS-1046,2026-09-01 11:30:00,BATCH-D,Line-3,Cotton,184.3,41.45,1,None,0,25.0
INS-1047,2026-09-01 11:45:00,BATCH-C,Line-1,Polyester Blend,178.3,54.38,0,Broken Yarn,1,0.0
INS-1048,2026-09-01 12:00:00,BATCH-B,Line-1,Cotton,187.7,35.6,2,None,0,25.0
INS-1049,2026-09-01 12:15:00,BATCH-B,Line-3,Linen,195.0,47.47,1,None,0,12.5
INS-1050,2026-09-01 12:30:00,BATCH-C,Line-2,Linen,179.1,51.46,2,Stain,1,50.0
INS-1051,2026-09-01 12:45:00,BATCH-B,Line-1,Linen,164.2,28.07,0,None,0,0.0
INS-1052,2026-09-01 13:00:00,BATCH-C,Line-1,Polyester Blend,156.3,48.97,1,Stain,1,40.0
INS-1053,2026-09-01 13:15:00,BATCH-D,Line-3,Polyester Blend,180.5,43.9,0,None,0,0.0
INS-1054,2026-09-01 13:30:00,BATCH-C,Line-1,Denim,183.6,46.28,1,None,0,12.5
INS-1055,2026-09-01 13:45:00,BATCH-D,Line-2,Linen,165.5,43.38,2,Crease,1,25.0
INS-1056,2026-09-01 14:00:00,BATCH-D,Line-3,Cotton,190.9,50.38,0,None,0,0.0
INS-1057,2026-09-01 14:15:00,BATCH-A,Line-1,Polyester Blend,173.1,46.82,0,Stain,1,0.0
INS-1058,2026-09-01 14:30:00,BATCH-C,Line-3,Linen,155.2,45.66,3,None,0,37.5
INS-1059,2026-09-01 14:45:00,BATCH-A,Line-1,Linen,198.8,40.51,2,Broken Yarn,1,80.0
INS-1060,2026-09-01 15:00:00,BATCH-C,Line-1,Polyester Blend,197.2,54.41,2,Hole,1,50.0
INS-1061,2026-09-01 15:15:00,BATCH-C,Line-1,Denim,149.8,45.05,3,None,0,120.0
INS-1062,2026-09-01 15:30:00,BATCH-A,Line-2,Polyester Blend,171.6,56.45,1,Stain,1,12.5
INS-1063,2026-09-01 15:45:00,BATCH-A,Line-2,Polyester Blend,171.0,54.64,1,None,0,40.0
INS-1064,2026-09-01 16:00:00,BATCH-C,Line-3,Cotton,204.6,36.11,2,Broken Yarn,1,25.0
INS-1065,2026-09-01 16:15:00,BATCH-B,Line-1,Cotton,178.5,41.73,3,None,0,37.5
INS-1066,2026-09-01 16:30:00,BATCH-D,Line-1,Denim,157.6,39.82,1,Hole,1,12.5
INS-1067,2026-09-01 16:45:00,BATCH-A,Line-2,Linen,193.2,44.76,1,None,0,12.5
INS-1068,2026-09-01 17:00:00,BATCH-D,Line-1,Polyester Blend,161.5,45.94,2,None,0,80.0
INS-1069,2026-09-01 17:15:00,BATCH-B,Line-2,Denim,176.1,46.15,1,Hole,1,12.5
INS-1070,2026-09-01 17:30:00,BATCH-B,Line-1,Cotton,168.5,50.27,1,Stain,1,12.5
INS-1071,2026-09-01 17:45:00,BATCH-B,Line-3,Polyester Blend,171.6,52.47,1,None,0,40.0
INS-1072,2026-09-01 18:00:00,BATCH-A,Line-1,Linen,194.1,49.84,0,None,0,0.0
INS-1073,2026-09-01 18:15:00,BATCH-B,Line-1,Cotton,202.8,42.2,0,None,0,0.0
INS-1074,2026-09-01 18:30:00,BATCH-A,Line-2,Cotton,160.9,41.09,0,None,0,0.0
INS-1075,2026-09-01 18:45:00,BATCH-B,Line-1,Cotton,189.4,45.01,0,None,0,0.0
INS-1076,2026-09-01 19:00:00,BATCH-D,Line-1,Denim,169.0,47.13,4,Broken Yarn,1,50.0
INS-1077,2026-09-01 19:15:00,BATCH-D,Line-2,Linen,169.5,44.08,1,None,0,12.5
INS-1078,2026-09-01 19:30:00,BATCH-C,Line-3,Polyester Blend,187.4,38.27,1,Stain,1,12.5
INS-1079,2026-09-01 19:45:00,BATCH-D,Line-3,Denim,164.6,48.41,0,Stain,1,0.0
INS-1080,2026-09-01 20:00:00,BATCH-C,Line-2,Denim,187.1,43.04,0,None,0,0.0
INS-1081,2026-09-01 20:15:00,BATCH-D,Line-2,Denim,191.0,42.89,2,None,0,50.0
INS-1082,2026-09-01 20:30:00,BATCH-A,Line-2,Cotton,173.5,44.73,0,None,0,0.0
INS-1083,2026-09-01 20:45:00,BATCH-D,Line-2,Linen,199.9,43.8,1,None,0,40.0
INS-1084,2026-09-01 21:00:00,BATCH-C,Line-2,Denim,160.9,43.17,0,Broken Yarn,1,0.0
INS-1085,2026-09-01 21:15:00,BATCH-C,Line-3,Polyester Blend,200.2,38.6,1,None,0,25.0
INS-1086,2026-09-01 21:30:00,BATCH-B,Line-3,Linen,150.8,44.44,1,Broken Yarn,1,25.0
INS-1087,2026-09-01 21:45:00,BATCH-A,Line-2,Polyester Blend,220.5,48.51,3,None,0,37.5
INS-1088,2026-09-01 22:00:00,BATCH-D,Line-1,Linen,173.9,46.32,2,None,0,80.0
INS-1089,2026-09-01 22:15:00,BATCH-B,Line-2,Polyester Blend,162.6,49.74,1,None,0,12.5
INS-1090,2026-09-01 22:30:00,BATCH-D,Line-1,Cotton,176.5,41.36,0,None,0,0.0
INS-1091,2026-09-01 22:45:00,BATCH-D,Line-2,Denim,164.3,38.61,1,None,0,12.5
INS-1092,2026-09-01 23:00:00,BATCH-B,Line-2,Polyester Blend,185.8,43.77,2,None,0,80.0
INS-1093,2026-09-01 23:15:00,BATCH-B,Line-3,Linen,200.5,41.93,3,Hole,1,75.0
INS-1094,2026-09-01 23:30:00,BATCH-B,Line-1,Denim,165.1,42.45,1,Stain,1,40.0
INS-1095,2026-09-01 23:45:00,BATCH-B,Line-1,Denim,188.7,46.06,0,None,0,0.0
INS-1096,2026-09-02 00:00:00,BATCH-B,Line-3,Linen,157.0,42.48,3,None,0,75.0
INS-1097,2026-09-02 00:15:00,BATCH-D,Line-3,Polyester Blend,195.5,38.75,1,None,0,25.0
INS-1098,2026-09-02 00:30:00,BATCH-B,Line-3,Cotton,186.2,42.21,5,None,0,200.0
INS-1099,2026-09-02 00:45:00,BATCH-A,Line-3,Cotton,196.1,46.7,1,None,0,12.5
INS-1100,2026-09-02 01:00:00,BATCH-C,Line-1,Polyester Blend,178.2,48.36,1,None,0,12.5
INS-1101,2026-09-02 01:15:00,BATCH-B,Line-1,Denim,173.5,48.31,5,None,0,62.5
INS-1102,2026-09-02 01:30:00,BATCH-B,Line-2,Denim,192.2,47.12,0,None,0,0.0
INS-1103,2026-09-02 01:45:00,BATCH-D,Line-2,Denim,160.4,44.16,2,None,0,25.0
INS-1104,2026-09-02 02:00:00,BATCH-B,Line-3,Denim,153.9,47.02,1,None,0,40.0
INS-1105,2026-09-02 02:15:00,BATCH-B,Line-3,Polyester Blend,179.9,44.79,1,Broken Yarn,1,40.0
INS-1106,2026-09-02 02:30:00,BATCH-B,Line-3,Denim,174.2,45.57,0,None,0,0.0
INS-1107,2026-09-02 02:45:00,BATCH-D,Line-2,Linen,188.3,40.3,0,None,0,0.0
INS-1108,2026-09-02 03:00:00,BATCH-B,Line-2,Denim,196.4,45.22,2,None,0,80.0
INS-1109,2026-09-02 03:15:00,BATCH-C,Line-2,Cotton,188.0,46.89,2,Hole,1,80.0
INS-1110,2026-09-02 03:30:00,BATCH-D,Line-2,Denim,195.2,46.71,1,Hole,1,40.0
INS-1111,2026-09-02 03:45:00,BATCH-C,Line-2,Polyester Blend,184.8,38.56,3,Broken Yarn,1,37.5
INS-1112,2026-09-02 04:00:00,BATCH-D,Line-2,Cotton,187.4,45.48,1,None,0,25.0
INS-1113,2026-09-02 04:15:00,BATCH-B,Line-2,Polyester Blend,178.3,37.78,0,None,0,0.0
INS-1114,2026-09-02 04:30:00,BATCH-C,Line-3,Polyester Blend,187.0,45.87,1,Stain,1,25.0
INS-1115,2026-09-02 04:45:00,BATCH-D,Line-3,Cotton,182.5,41.49,1,None,0,40.0
INS-1116,2026-09-02 05:00:00,BATCH-A,Line-3,Polyester Blend,184.9,53.53,2,None,0,80.0
INS-1117,2026-09-02 05:15:00,BATCH-B,Line-3,Polyester Blend,177.5,45.6,3,Hole,1,37.5
INS-1118,2026-09-02 05:30:00,BATCH-D,Line-2,Denim,192.1,49.01,4,None,0,100.0
INS-1119,2026-09-02 05:45:00,BATCH-A,Line-1,Linen,169.3,55.55,2,None,0,25.0
INS-1120,2026-09-02 06:00:00,BATCH-D,Line-2,Polyester Blend,179.7,40.91,0,None,0,0.0
INS-1121,2026-09-02 06:15:00,BATCH-A,Line-1,Polyester Blend,199.7,47.18,1,None,0,25.0
INS-1122,2026-09-02 06:30:00,BATCH-B,Line-3,Polyester Blend,165.8,39.07,2,None,0,25.0
INS-1123,2026-09-02 06:45:00,BATCH-C,Line-2,Denim,147.6,46.72,0,Broken Yarn,1,0.0
INS-1124,2026-09-02 07:00:00,BATCH-A,Line-3,Linen,185.5,53.83,0,Broken Yarn,1,0.0
INS-1125,2026-09-02 07:15:00,BATCH-D,Line-2,Cotton,176.1,41.86,4,None,0,160.0
INS-1126,2026-09-02 07:30:00,BATCH-B,Line-3,Denim,195.2,40.57,2,Hole,1,80.0
INS-1127,2026-09-02 07:45:00,BATCH-A,Line-1,Denim,178.0,44.54,3,None,0,120.0
INS-1128,2026-09-02 08:00:00,BATCH-D,Line-1,Linen,170.9,55.23,2,None,0,25.0
INS-1129,2026-09-02 08:15:00,BATCH-D,Line-1,Linen,178.9,48.86,0,Stain,1,0.0
INS-1130,2026-09-02 08:30:00,BATCH-D,Line-2,Denim,196.4,40.48,1,Stain,1,40.0
INS-1131,2026-09-02 08:45:00,BATCH-A,Line-1,Cotton,188.6,52.28,1,Broken Yarn,1,40.0
INS-1132,2026-09-02 09:00:00,BATCH-A,Line-2,Denim,143.5,36.72,3,Hole,1,37.5
INS-1133,2026-09-02 09:15:00,BATCH-A,Line-1,Linen,182.8,55.68,1,Broken Yarn,1,25.0
INS-1134,2026-09-02 09:30:00,BATCH-C,Line-1,Cotton,183.5,49.28,0,Hole,1,0.0
INS-1135,2026-09-02 09:45:00,BATCH-A,Line-2,Linen,179.7,53.82,1,None,0,12.5
INS-1136,2026-09-02 10:00:00,BATCH-A,Line-2,Cotton,170.8,36.76,0,Broken Yarn,1,0.0
INS-1137,2026-09-02 10:15:00,BATCH-A,Line-1,Polyester Blend,197.9,45.85,1,Crease,1,12.5
INS-1138,2026-09-02 10:30:00,BATCH-C,Line-2,Linen,198.7,44.33,1,Broken Yarn,1,12.5
INS-1139,2026-09-02 10:45:00,BATCH-A,Line-1,Linen,147.0,39.97,2,None,0,50.0
INS-1140,2026-09-02 11:00:00,BATCH-D,Line-2,Denim,168.0,38.52,1,None,0,40.0
INS-1141,2026-09-02 11:15:00,BATCH-A,Line-3,Linen,177.8,47.54,1,None,0,40.0
INS-1142,2026-09-02 11:30:00,BATCH-D,Line-3,Linen,194.2,47.99,1,None,0,25.0
INS-1143,2026-09-02 11:45:00,BATCH-D,Line-3,Polyester Blend,180.5,51.5,1,Crease,1,40.0
INS-1144,2026-09-02 12:00:00,BATCH-D,Line-3,Linen,169.7,42.48,1,None,0,40.0
INS-1145,2026-09-02 12:15:00,BATCH-C,Line-3,Polyester Blend,190.6,44.29,1,None,0,40.0
INS-1146,2026-09-02 12:30:00,BATCH-C,Line-1,Polyester Blend,176.8,38.09,1,Crease,1,25.0
INS-1147,2026-09-02 12:45:00,BATCH-C,Line-3,Polyester Blend,178.2,52.7,0,None,0,0.0
INS-1148,2026-09-02 13:00:00,BATCH-A,Line-3,Polyester Blend,179.6,45.35,1,None,0,40.0
INS-1149,2026-09-02 13:15:00,BATCH-D,Line-3,Cotton,188.6,48.61,0,None,0,0.0
INS-1150,2026-09-02 13:30:00,BATCH-C,Line-3,Denim,175.4,48.79,1,Broken Yarn,1,40.0
INS-1151,2026-09-02 13:45:00,BATCH-C,Line-2,Cotton,190.3,52.3,0,None,0,0.0
INS-1152,2026-09-02 14:00:00,BATCH-A,Line-1,Linen,178.9,40.84,2,Crease,1,25.0
INS-1153,2026-09-02 14:15:00,BATCH-C,Line-3,Cotton,164.0,48.49,1,None,0,12.5
INS-1154,2026-09-02 14:30:00,BATCH-A,Line-3,Cotton,179.4,44.87,1,None,0,25.0
INS-1155,2026-09-02 14:45:00,BATCH-B,Line-3,Linen,164.8,55.53,0,None,0,0.0
INS-1156,2026-09-02 15:00:00,BATCH-C,Line-1,Linen,180.6,40.83,1,Broken Yarn,1,25.0
INS-1157,2026-09-02 15:15:00,BATCH-B,Line-2,Linen,192.4,50.86,3,None,0,75.0
INS-1158,2026-09-02 15:30:00,BATCH-A,Line-1,Cotton,163.9,46.75,1,None,0,25.0
INS-1159,2026-09-02 15:45:00,BATCH-D,Line-2,Cotton,185.5,46.49,0,None,0,0.0
INS-1160,2026-09-02 16:00:00,BATCH-C,Line-3,Linen,167.6,45.27,0,Stain,1,0.0
INS-1161,2026-09-02 16:15:00,BATCH-A,Line-3,Denim,183.0,51.73,2,None,0,80.0
INS-1162,2026-09-02 16:30:00,BATCH-D,Line-1,Denim,192.9,46.32,2,Broken Yarn,1,80.0
INS-1163,2026-09-02 16:45:00,BATCH-D,Line-1,Polyester Blend,148.1,37.38,1,Stain,1,25.0
INS-1164,2026-09-02 17:00:00,BATCH-B,Line-2,Linen,163.3,51.1,4,None,0,100.0
INS-1165,2026-09-02 17:15:00,BATCH-A,Line-2,Polyester Blend,174.5,50.18,1,None,0,25.0
INS-1166,2026-09-02 17:30:00,BATCH-D,Line-1,Denim,184.7,47.94,2,None,0,25.0
INS-1167,2026-09-02 17:45:00,BATCH-C,Line-2,Polyester Blend,177.5,39.36,1,None,0,12.5
INS-1168,2026-09-02 18:00:00,BATCH-C,Line-1,Linen,179.3,40.13,1,None,0,12.5
INS-1169,2026-09-02 18:15:00,BATCH-B,Line-2,Linen,210.6,35.61,5,None,0,200.0
INS-1170,2026-09-02 18:30:00,BATCH-D,Line-1,Linen,161.8,47.3,1,None,0,25.0
INS-1171,2026-09-02 18:45:00,BATCH-A,Line-1,Cotton,197.0,38.25,0,None,0,0.0
INS-1172,2026-09-02 19:00:00,BATCH-C,Line-1,Polyester Blend,174.8,36.41,1,None,0,12.5
INS-1173,2026-09-02 19:15:00,BATCH-D,Line-2,Denim,188.2,51.37,0,None,0,0.0
INS-1174,2026-09-02 19:30:00,BATCH-D,Line-2,Denim,211.9,48.84,0,Stain,1,0.0
INS-1175,2026-09-02 19:45:00,BATCH-B,Line-2,Denim,190.3,43.33,0,Crease,1,0.0
INS-1176,2026-09-02 20:00:00,BATCH-C,Line-1,Cotton,185.6,44.33,1,Hole,1,25.0
INS-1177,2026-09-02 20:15:00,BATCH-C,Line-2,Cotton,204.0,32.96,0,None,0,0.0
INS-1178,2026-09-02 20:30:00,BATCH-A,Line-2,Linen,196.9,49.58,1,None,0,40.0
INS-1179,2026-09-02 20:45:00,BATCH-C,Line-1,Denim,168.0,41.54,1,None,0,12.5
INS-1180,2026-09-02 21:00:00,BATCH-A,Line-3,Cotton,184.4,46.65,3,None,0,120.0
INS-1181,2026-09-02 21:15:00,BATCH-C,Line-1,Linen,154.2,32.56,1,None,0,40.0
INS-1182,2026-09-02 21:30:00,BATCH-B,Line-2,Denim,171.9,49.89,1,Broken Yarn,1,40.0
INS-1183,2026-09-02 21:45:00,BATCH-C,Line-1,Polyester Blend,184.7,41.24,1,None,0,25.0
INS-1184,2026-09-02 22:00:00,BATCH-A,Line-3,Linen,171.0,38.12,0,None,0,0.0
INS-1185,2026-09-02 22:15:00,BATCH-A,Line-1,Cotton,184.1,43.3,1,Crease,1,12.5
INS-1186,2026-09-02 22:30:00,BATCH-B,Line-2,Cotton,179.8,42.02,0,None,0,0.0
INS-1187,2026-09-02 22:45:00,BATCH-C,Line-3,Linen,188.0,50.37,3,None,0,75.0
INS-1188,2026-09-02 23:00:00,BATCH-C,Line-2,Linen,173.6,42.9,1,None,0,40.0
INS-1189,2026-09-02 23:15:00,BATCH-B,Line-3,Cotton,165.9,51.81,0,None,0,0.0
INS-1190,2026-09-02 23:30:00,BATCH-C,Line-3,Polyester Blend,202.2,46.65,1,Broken Yarn,1,12.5
INS-1191,2026-09-02 23:45:00,BATCH-C,Line-1,Denim,172.6,49.47,1,None,0,12.5
INS-1192,2026-09-03 00:00:00,BATCH-A,Line-1,Polyester Blend,189.9,44.99,5,None,0,125.0
INS-1193,2026-09-03 00:15:00,BATCH-C,Line-2,Linen,201.5,51.36,1,Stain,1,40.0
INS-1194,2026-09-03 00:30:00,BATCH-C,Line-1,Polyester Blend,182.4,39.23,2,Stain,1,80.0
INS-1195,2026-09-03 00:45:00,BATCH-B,Line-1,Cotton,167.2,45.57,2,Crease,1,50.0
INS-1196,2026-09-03 01:00:00,BATCH-B,Line-3,Linen,177.3,43.02,1,Stain,1,12.5
INS-1197,2026-09-03 01:15:00,BATCH-D,Line-1,Denim,195.3,51.98,2,None,0,50.0
INS-1198,2026-09-03 01:30:00,BATCH-A,Line-3,Cotton,183.1,52.5,3,None,0,120.0
INS-1199,2026-09-03 01:45:00,BATCH-C,Line-3,Cotton,161.9,45.0,1,None,0,40.0
INS-1200,2026-09-03 02:00:00,BATCH-C,Line-3,Denim,188.9,38.54,2,None,0,50.0
INS-1201,2026-09-03 02:15:00,BATCH-D,Line-2,Denim,191.5,47.14,1,Broken Yarn,1,12.5
INS-1202,2026-09-03 02:30:00,BATCH-C,Line-2,Polyester Blend,174.7,36.68,1,Stain,1,25.0
INS-1203,2026-09-03 02:45:00,BATCH-A,Line-2,Linen,189.2,53.13,0,None,0,0.0
INS-1204,2026-09-03 03:00:00,BATCH-D,Line-3,Denim,183.7,42.63,0,None,0,0.0
INS-1205,2026-09-03 03:15:00,BATCH-A,Line-2,Denim,177.0,44.85,0,None,0,0.0
INS-1206,2026-09-03 03:30:00,BATCH-D,Line-2,Linen,160.6,41.6,1,Crease,1,25.0
INS-1207,2026-09-03 03:45:00,BATCH-D,Line-1,Denim,196.2,40.49,1,None,0,12.5
INS-1208,2026-09-03 04:00:00,BATCH-B,Line-2,Denim,191.4,48.69,3,Stain,1,37.5
INS-1209,2026-09-03 04:15:00,BATCH-A,Line-2,Polyester Blend,188.8,44.21,3,Stain,1,37.5
INS-1210,2026-09-03 04:30:00,BATCH-C,Line-3,Cotton,203.2,45.21,3,Crease,1,37.5
INS-1211,2026-09-03 04:45:00,BATCH-C,Line-3,Cotton,194.2,39.98,2,Stain,1,80.0
INS-1212,2026-09-03 05:00:00,BATCH-A,Line-3,Cotton,190.3,49.28,0,Broken Yarn,1,0.0
INS-1213,2026-09-03 05:15:00,BATCH-C,Line-3,Cotton,146.8,49.79,0,None,0,0.0
INS-1214,2026-09-03 05:30:00,BATCH-C,Line-3,Denim,198.0,43.96,3,None,0,75.0
INS-1215,2026-09-03 05:45:00,BATCH-A,Line-3,Linen,181.2,51.34,1,None,0,12.5
INS-1216,2026-09-03 06:00:00,BATCH-D,Line-2,Linen,184.7,44.48,5,None,0,125.0
INS-1217,2026-09-03 06:15:00,BATCH-A,Line-3,Polyester Blend,184.8,48.9,3,Crease,1,75.0
INS-1218,2026-09-03 06:30:00,BATCH-D,Line-3,Polyester Blend,191.6,36.89,1,None,0,12.5
INS-1219,2026-09-03 06:45:00,BATCH-C,Line-1,Denim,196.8,46.77,1,Hole,1,12.5
INS-1220,2026-09-03 07:00:00,BATCH-C,Line-2,Linen,189.5,43.64,1,None,0,25.0
INS-1221,2026-09-03 07:15:00,BATCH-C,Line-2,Linen,187.1,45.78,2,None,0,50.0
INS-1222,2026-09-03 07:30:00,BATCH-B,Line-2,Cotton,183.5,45.55,3,Crease,1,75.0
INS-1223,2026-09-03 07:45:00,BATCH-D,Line-3,Denim,129.7,45.63,4,None,0,160.0
INS-1224,2026-09-03 08:00:00,BATCH-B,Line-3,Denim,175.7,48.08,0,None,0,0.0
INS-1225,2026-09-03 08:15:00,BATCH-B,Line-3,Cotton,165.9,42.17,1,None,0,40.0
INS-1226,2026-09-03 08:30:00,BATCH-A,Line-1,Denim,198.2,47.85,0,Broken Yarn,1,0.0
INS-1227,2026-09-03 08:45:00,BATCH-B,Line-3,Denim,189.3,51.16,0,None,0,0.0
INS-1228,2026-09-03 09:00:00,BATCH-A,Line-1,Polyester Blend,173.1,37.95,1,None,0,12.5
INS-1229,2026-09-03 09:15:00,BATCH-A,Line-2,Linen,174.6,41.1,0,None,0,0.0
INS-1230,2026-09-03 09:30:00,BATCH-B,Line-3,Denim,174.1,41.31,1,Broken Yarn,1,12.5
INS-1231,2026-09-03 09:45:00,BATCH-D,Line-1,Polyester Blend,173.8,39.54,1,Broken Yarn,1,25.0
INS-1232,2026-09-03 10:00:00,BATCH-D,Line-1,Linen,158.3,42.63,2,None,0,50.0
INS-1233,2026-09-03 10:15:00,BATCH-D,Line-3,Cotton,155.1,50.17,1,None,0,40.0
INS-1234,2026-09-03 10:30:00,BATCH-D,Line-2,Polyester Blend,180.4,52.24,4,Stain,1,160.0
INS-1235,2026-09-03 10:45:00,BATCH-D,Line-2,Polyester Blend,196.1,45.53,1,None,0,12.5
INS-1236,2026-09-03 11:00:00,BATCH-B,Line-2,Linen,171.9,43.38,3,None,0,37.5
INS-1237,2026-09-03 11:15:00,BATCH-B,Line-1,Cotton,184.6,49.01,1,None,0,40.0
INS-1238,2026-09-03 11:30:00,BATCH-C,Line-1,Polyester Blend,191.0,33.18,0,Hole,1,0.0
INS-1239,2026-09-03 11:45:00,BATCH-D,Line-1,Denim,165.1,39.72,1,None,0,25.0
INS-1240,2026-09-03 12:00:00,BATCH-B,Line-1,Denim,179.7,33.39,2,None,0,50.0
INS-1241,2026-09-03 12:15:00,BATCH-C,Line-2,Denim,170.0,39.67,2,Broken Yarn,1,25.0
INS-1242,2026-09-03 12:30:00,BATCH-D,Line-3,Cotton,204.1,41.16,5,Broken Yarn,1,125.0
INS-1243,2026-09-03 12:45:00,BATCH-A,Line-1,Polyester Blend,203.4,52.39,1,None,0,12.5
INS-1244,2026-09-03 13:00:00,BATCH-C,Line-1,Denim,165.1,31.19,1,None,0,12.5
INS-1245,2026-09-03 13:15:00,BATCH-B,Line-2,Cotton,185.8,42.92,2,Broken Yarn,1,25.0
INS-1246,2026-09-03 13:30:00,BATCH-A,Line-3,Denim,196.0,48.1,2,Crease,1,50.0
INS-1247,2026-09-03 13:45:00,BATCH-A,Line-3,Linen,192.7,47.05,1,Broken Yarn,1,40.0
INS-1248,2026-09-03 14:00:00,BATCH-A,Line-2,Polyester Blend,181.2,52.31,1,None,0,40.0
